time,chassis_x,chassis_y,chassis_yaw,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,head_joint1,head_joint2,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.738361,0,0,0,0.365964,1.30874,0.889157,0,0,0,0,0.073825,-1.38596,-0.454895,-0.26363,0.664927,-0.196207,-0.0212642,-0.073825,1.38596,0.454895,0.26363,-0.664927,0.196207,0.0212642
0.770464,0,0,0,0.367375,1.31127,0.89085,0,0,0,0,-0.0141892,-1.38737,-0.516025,-0.240273,0.697876,-0.186419,-0.0187253,0.0141892,1.38737,0.516025,0.240273,-0.697876,0.186419,0.0187253
0.802567,0,0,0,0.368793,1.31383,0.892552,0,0,0,0,-0.102711,-1.38879,-0.577508,-0.21678,0.731015,-0.176573,-0.0161718,0.102711,1.38879,0.577508,0.21678,-0.731015,0.176573,0.0161718
0.834669,0,0,0,0.370212,1.31638,0.894255,0,0,0,0,-0.191234,-1.39021,-0.638992,-0.193288,0.764154,-0.166728,-0.0136182,0.191234,1.39021,0.638992,0.193288,-0.764154,0.166728,0.0136182
0.866772,0,0,0,0.371631,1.31894,0.895957,0,0,0,0,-0.279757,-1.39163,-0.700476,-0.169795,0.797294,-0.156883,-0.0110647,0.279757,1.39163,0.700476,0.169795,-0.797294,0.156883,0.0110647
0.898875,0,0,0,0.373049,1.32149,0.897659,0,0,0,0,-0.368281,-1.39305,-0.76196,-0.146302,0.830433,-0.147037,-0.00851114,0.368281,1.39305,0.76196,0.146302,-0.830433,0.147037,0.00851114
0.930977,0,0,0,0.374468,1.32404,0.899362,0,0,0,0,-0.456804,-1.39447,-0.823443,-0.12281,0.863573,-0.137192,-0.00595759,0.456804,1.39447,0.823443,0.12281,-0.863573,0.137192,0.00595759
0.96308,0,0,0,0.375887,1.3266,0.901064,0,0,0,0,-0.545327,-1.39589,-0.884927,-0.0993171,0.896712,-0.127347,-0.00340404,0.545327,1.39589,0.884927,0.0993171,-0.896712,0.127347,0.00340404
0.995183,0,0,0,0.377305,1.32915,0.902766,0,0,0,0,-0.63385,-1.39731,-0.946411,-0.0758245,0.929851,-0.117501,-0.000850485,0.63385,1.39731,0.946411,0.0758245,-0.929851,0.117501,0.000850485
1.02729,0,0,0,0.378724,1.3317,0.904469,0,0,0,0,-0.722373,-1.39872,-1.00789,-0.0523318,0.962991,-0.107656,0.00170307,0.722373,1.39872,1.00789,0.0523318,-0.962991,0.107656,-0.00170307
1.05939,0,0,0,0.380143,1.33426,0.906171,0,0,0,0,-0.810896,-1.40014,-1.06938,-0.0288391,0.99613,-0.0978106,0.00425662,0.810896,1.40014,1.06938,0.0288391,-0.99613,0.0978106,-0.00425662
1.09149,0,0,0,0.381561,1.33681,0.907873,0,0,0,0,-0.899419,-1.40156,-1.13086,-0.00534645,1.02927,-0.0879652,0.00681017,0.899419,1.40156,1.13086,0.00534645,-1.02927,0.0879652,-0.00681017
1.12359,0,0,0,0.38298,1.33936,0.909576,0,0,0,0,-0.987946,-1.40298,-1.19235,0.0181471,1.06241,-0.0781195,0.00936382,0.987946,1.40298,1.19235,-0.0181471,-1.06241,0.0781195,-0.00936382
1.1557,0,0,0,0.384381,1.34189,0.911257,0,0,0,0,-1.07536,-1.40438,-1.25306,0.0413463,1.09514,-0.0683972,0.0118855,1.07536,1.40438,1.25306,-0.0413463,-1.09514,0.0683972,-0.0118855
1.1878,0,0,0,0.385724,1.3443,0.912869,0,0,0,0,-1.15916,-1.40572,-1.31127,0.0635853,1.12651,-0.0590772,0.0143028,1.15916,1.40572,1.31127,-0.0635853,-1.12651,0.0590772,-0.0143028
1.2199,0,0,0,0.387006,1.34661,0.914408,0,0,0,0,-1.2392,-1.40701,-1.36685,0.0848248,1.15647,-0.0501761,0.0166114,1.2392,1.40701,1.36685,-0.0848248,-1.15647,0.0501761,-0.0166114
1.252,0,0,0,0.388229,1.34881,0.915874,0,0,0,0,-1.31546,-1.40823,-1.41983,0.105065,1.18502,-0.0416938,0.0188114,1.31546,1.40823,1.41983,-0.105065,-1.18502,0.0416938,-0.0188114
1.28411,0,0,0,0.38939,1.3509,0.917269,0,0,0,0,-1.38796,-1.40939,-1.47018,0.124305,1.21216,-0.0336305,0.0209028,1.38796,1.40939,1.47018,-0.124305,-1.21216,0.0336305,-0.0209028
1.31621,0,0,0,0.390492,1.35289,0.91859,0,0,0,0,-1.4567,-1.41049,-1.51792,0.142546,1.23789,-0.025986,0.0228855,1.4567,1.41049,1.51792,-0.142546,-1.23789,0.025986,-0.0228855
1.34831,0,0,0,0.391533,1.35476,0.91984,0,0,0,0,-1.52166,-1.41153,-1.56304,0.159788,1.26221,-0.0187604,0.0247596,1.52166,1.41153,1.56304,-0.159788,-1.26221,0.0187604,-0.0247596
1.38041,0,0,0,0.392514,1.35652,0.921017,0,0,0,0,-1.58287,-1.41251,-1.60555,0.17603,1.28512,-0.0119537,0.026525,1.58287,1.41251,1.60555,-0.17603,-1.28512,0.0119537,-0.026525
1.41252,0,0,0,0.393434,1.35818,0.922121,0,0,0,0,-1.6403,-1.41343,-1.64544,0.191272,1.30663,-0.00556581,0.0281818,1.6403,1.41343,1.64544,-0.191272,-1.30663,0.00556581,-0.0281818
1.44462,0,0,0,0.394294,1.35973,0.923153,0,0,0,0,-1.69397,-1.41429,-1.68272,0.205515,1.32672,0.000403169,0.0297299,1.69397,1.41429,1.68272,-0.205515,-1.32672,-0.000403169,-0.0297299
1.47672,0,0,0,0.395094,1.36117,0.924113,0,0,0,0,-1.74387,-1.41509,-1.71738,0.218759,1.3454,0.00595327,0.0311694,1.74387,1.41509,1.71738,-0.218759,-1.3454,-0.00595327,-0.0311694
1.50883,0,0,0,0.395834,1.3625,0.925,0,0,0,0,-1.79001,-1.41583,-1.74942,0.231003,1.36267,0.0110845,0.0325003,1.79001,1.41583,1.74942,-0.231003,-1.36267,-0.0110845,-0.0325003
1.54093,0,0,0,0.396513,1.36372,0.925815,0,0,0,0,-1.83238,-1.41651,-1.77885,0.242247,1.37853,0.0157968,0.0337225,1.83238,1.41651,1.77885,-0.242247,-1.37853,-0.0157968,-0.0337225
1.57303,0,0,0,0.397131,1.36484,0.926557,0,0,0,0,-1.87099,-1.41713,-1.80566,0.252492,1.39298,0.0200903,0.0348361,1.87099,1.41713,1.80566,-0.252492,-1.39298,-0.0200903,-0.0348361
1.60513,0,0,0,0.397689,1.36584,0.927227,0,0,0,0,-1.90582,-1.41769,-1.82986,0.261738,1.40603,0.0239649,0.035841,1.90582,1.41769,1.82986,-0.261738,-1.40603,-0.0239649,-0.035841
1.63724,0,0,0,0.398187,1.36674,0.927825,0,0,0,0,-1.93689,-1.41819,-1.85144,0.269984,1.41766,0.0274206,0.0367373,1.93689,1.41819,1.85144,-0.269984,-1.41766,-0.0274206,-0.0367373
1.66934,0,0,0,0.398625,1.36752,0.92835,0,0,0,0,-1.9642,-1.41862,-1.87041,0.27723,1.42788,0.0304575,0.037525,1.9642,1.41862,1.87041,-0.27723,-1.42788,-0.0304575,-0.037525
1.70144,0,0,0,0.399002,1.3682,0.928803,0,0,0,0,-1.98774,-1.419,-1.88676,0.283477,1.43669,0.0330755,0.038204,1.98774,1.419,1.88676,-0.283477,-1.43669,-0.0330755,-0.038204
1.73354,0,0,0,0.399319,1.36877,0.929183,0,0,0,0,-2.00751,-1.41932,-1.90049,0.288724,1.44409,0.0352746,0.0387744,2.00751,1.41932,1.90049,-0.288724,-1.44409,-0.0352746,-0.0387744
1.76565,0,0,0,0.399576,1.36924,0.929491,0,0,0,0,-2.02352,-1.41958,-1.91161,0.292972,1.45009,0.0370548,0.0392361,2.02352,1.41958,1.91161,-0.292972,-1.45009,-0.0370548,-0.0392361
1.79775,0,0,0,0.399772,1.36959,0.929726,0,0,0,0,-2.03576,-1.41977,-1.92011,0.296221,1.45467,0.0384161,0.0395892,2.03576,1.41977,1.92011,-0.296221,-1.45467,-0.0384161,-0.0395892
1.82985,0,0,0,0.399908,1.36983,0.929889,0,0,0,0,-2.04423,-1.41991,-1.92599,0.29847,1.45784,0.0393586,0.0398336,2.04423,1.41991,1.92599,-0.29847,-1.45784,-0.0393586,-0.0398336
1.86195,0,0,0,0.399983,1.36997,0.92998,0,0,0,0,-2.04894,-1.41998,-1.92926,0.299719,1.4596,0.0398822,0.0399694,2.04894,1.41998,1.92926,-0.299719,-1.4596,-0.0398822,-0.0399694
1.89005,0,0,0,0.399999,1.37,0.929999,0,0,0,0,-2.04998,-1.41997,-1.92997,0.299992,1.46001,0.0399998,0.0399983,2.04998,1.41997,1.92997,-0.299992,-1.46001,-0.0399998,-0.0399998
1.92219,0,0,0,0.399904,1.36983,0.929884,0,0,0,0,-2.04798,-1.41736,-1.92743,0.299364,1.46104,0.0399807,0.0398652,2.04798,1.41736,1.92743,-0.299364,-1.46104,-0.0399807,-0.0399807
1.95432,0,0,0,0.399656,1.36938,0.929588,0,0,0,0,-2.04278,-1.41058,-1.92082,0.297732,1.46371,0.0399313,0.0395189,2.04278,1.41058,1.92082,-0.297732,-1.46371,-0.0399313,-0.0399313
1.98646,0,0,0,0.399257,1.36866,0.929108,0,0,0,0,-2.03439,-1.39964,-1.91014,0.295095,1.46803,0.0398514,0.0389596,2.03439,1.39964,1.91014,-0.295095,-1.46803,-0.0398514,-0.0398514
2.0186,0,0,0,0.398705,1.36767,0.928446,0,0,0,0,-2.02281,-1.38452,-1.8954,0.291454,1.47398,0.039741,0.0381872,2.02281,1.38452,1.8954,-0.291454,-1.47398,-0.039741,-0.039741
2.05073,0,0,0,0.398001,1.3664,0.927601,0,0,0,0,-2.00802,-1.36523,-1.87659,0.286808,1.48159,0.0396002,0.0372017,2.00802,1.36523,1.87659,-0.286808,-1.48159,-0.0396002,-0.0396002
2.08287,0,0,0,0.397145,1.36486,0.926574,0,0,0,0,-1.99005,-1.34177,-1.85372,0.281157,1.49083,0.039429,0.0360031,1.99005,1.34177,1.85372,-0.281157,-1.49083,-0.039429,-0.039429
2.11501,0,0,0,0.396137,1.36305,0.925364,0,0,0,0,-1.96887,-1.31415,-1.82677,0.274502,1.50172,0.0392273,0.0345914,1.96887,1.31415,1.82677,-0.274502,-1.50172,-0.0392273,-0.0392273
2.14714,0,0,0,0.394976,1.36096,0.923971,0,0,0,0,-1.9445,-1.28235,-1.79576,0.266843,1.51426,0.0389952,0.0329667,1.9445,1.28235,1.79576,-0.266843,-1.51426,-0.0389952,-0.0389952
2.17928,0,0,0,0.393663,1.35859,0.922396,0,0,0,0,-1.91693,-1.24638,-1.76069,0.258179,1.52843,0.0387327,0.0311289,1.91693,1.24638,1.76069,-0.258179,-1.52843,-0.0387327,-0.0387327
2.21142,0,0,0,0.392199,1.35596,0.920638,0,0,0,0,-1.88617,-1.20624,-1.72155,0.248511,1.54426,0.0384397,0.029078,1.88617,1.20624,1.72155,-0.248511,-1.54426,-0.0384397,-0.0384397
2.24355,0,0,0,0.390581,1.35305,0.918698,0,0,0,0,-1.85221,-1.16193,-1.67834,0.237838,1.56172,0.0381163,0.026814,1.85221,1.16193,1.67834,-0.237838,-1.56172,-0.0381163,-0.0381163
2.27569,0,0,0,0.388812,1.34986,0.916575,0,0,0,0,-1.81505,-1.11345,-1.63106,0.22616,1.58083,0.0377624,0.024337,1.81505,1.11345,1.63106,-0.22616,-1.58083,-0.0377624,-0.0377624
2.30783,0,0,0,0.386891,1.3464,0.914269,0,0,0,0,-1.7747,-1.0608,-1.57972,0.213478,1.60158,0.0373781,0.0216469,1.7747,1.0608,1.57972,-0.213478,-1.60158,-0.0373781,-0.0373781
2.33996,0,0,0,0.384817,1.34267,0.91178,0,0,0,0,-1.73115,-1.00398,-1.52431,0.199791,1.62398,0.0369634,0.0187436,1.73115,1.00398,1.52431,-0.199791,-1.62398,-0.0369634,-0.0369634
2.3721,0,0,0,0.382591,1.33866,0.909109,0,0,0,0,-1.68441,-0.942992,-1.46483,0.1851,1.64802,0.0365182,0.0156274,1.68441,0.942992,1.46483,-0.1851,-1.64802,-0.0365182,-0.0365182
2.40424,0,0,0,0.380213,1.33438,0.906255,0,0,0,0,-1.63447,-0.877832,-1.40129,0.169405,1.6737,0.0360426,0.012298,1.63447,0.877832,1.40129,-0.169405,-1.6737,-0.0360426,-0.0360426
2.43637,0,0,0,0.377683,1.32983,0.903219,0,0,0,0,-1.58133,-0.808501,-1.33368,0.152705,1.70103,0.0355365,0.00875553,1.58133,0.808501,1.33368,-0.152705,-1.70103,-0.0355365,-0.0355365
2.46851,0,0,0,0.375,1.325,0.9,0,0,0,0,-1.525,-0.735,-1.262,0.135,1.73,0.035,0.005,1.525,0.735,1.262,-0.135,-1.73,-0.035,-0.035
2.50065,0,0,0,0.372317,1.32017,0.896781,0,0,0,0,-1.46867,-0.661499,-1.19032,0.117295,1.75897,0.0344635,0.00124447,1.46867,0.661499,1.19032,-0.117295,-1.75897,-0.0344635,-0.0344635
2.53278,0,0,0,0.369787,1.31562,0.893745,0,0,0,0,-1.41553,-0.592168,-1.12271,0.100595,1.7863,0.0339574,-0.00229798,1.41553,0.592168,1.12271,-0.100595,-1.7863,-0.0339574,-0.0339574
2.56492,0,0,0,0.367409,1.31134,0.890891,0,0,0,0,-1.36559,-0.527008,-1.05917,0.0848997,1.81198,0.0334818,-0.00562735,1.36559,0.527008,1.05917,-0.0848997,-1.81198,-0.0334818,-0.0334818
2.59706,0,0,0,0.365183,1.30733,0.88822,0,0,0,0,-1.31885,-0.466017,-0.999693,0.0702086,1.83602,0.0330366,-0.00874364,1.31885,0.466017,0.999693,-0.0702086,-1.83602,-0.0330366,-0.0330366
2.62919,0,0,0,0.363109,1.3036,0.885731,0,0,0,0,-1.2753,-0.409197,-0.944283,0.056522,1.85842,0.0326219,-0.0116468,1.2753,0.409197,0.944283,-0.056522,-1.85842,-0.0326219,-0.0326219
2.66133,0,0,0,0.361188,1.30014,0.883425,0,0,0,0,-1.23495,-0.356548,-0.89294,0.04384,1.87917,0.0322376,-0.014337,1.23495,0.356548,0.89294,-0.04384,-1.87917,-0.0322376,-0.0322376
2.69347,0,0,0,0.359419,1.29695,0.881302,0,0,0,0,-1.19779,-0.308068,-0.845664,0.0321624,1.89828,0.0318837,-0.016814,1.19779,0.308068,0.845664,-0.0321624,-1.89828,-0.0318837,-0.0318837
2.7256,0,0,0,0.357801,1.29404,0.879362,0,0,0,0,-1.16383,-0.263759,-0.802454,0.0214894,1.91574,0.0315603,-0.019078,1.16383,0.263759,0.802454,-0.0214894,-1.91574,-0.0315603,-0.0315603
2.75774,0,0,0,0.356337,1.29141,0.877604,0,0,0,0,-1.13307,-0.22362,-0.763311,0.0118209,1.93157,0.0312673,-0.0211289,1.13307,0.22362,0.763311,-0.0118209,-1.93157,-0.0312673,-0.0312673
2.78988,0,0,0,0.355024,1.28904,0.876029,0,0,0,0,-1.1055,-0.187652,-0.728235,0.00315696,1.94574,0.0310048,-0.0229667,1.1055,0.187652,0.728235,-0.00315696,-1.94574,-0.0310048,-0.0310048
2.82201,0,0,0,0.353863,1.28695,0.874636,0,0,0,0,-1.08113,-0.155853,-0.697226,-0.0045025,1.95828,0.0307727,-0.0245914,1.08113,0.155853,0.697226,0.0045025,-1.95828,-0.0307727,-0.0307727
2.85415,0,0,0,0.352855,1.28514,0.873426,0,0,0,0,-1.05995,-0.128225,-0.670284,-0.0111574,1.96917,0.030571,-0.0260031,1.05995,0.128225,0.670284,0.0111574,-1.96917,-0.030571,-0.030571
2.88629,0,0,0,0.351999,1.2836,0.872399,0,0,0,0,-1.04198,-0.104767,-0.647408,-0.0168078,1.97841,0.0303998,-0.0272017,1.04198,0.104767,0.647408,0.0168078,-1.97841,-0.0303998,-0.0303998
2.91842,0,0,0,0.351295,1.28233,0.871554,0,0,0,0,-1.02719,-0.0854799,-0.628599,-0.0214537,1.98602,0.030259,-0.0281872,1.02719,0.0854799,0.628599,0.0214537,-1.98602,-0.030259,-0.030259
2.95056,0,0,0,0.350743,1.28134,0.870892,0,0,0,0,-1.01561,-0.0703627,-0.613857,-0.0250951,1.99197,0.0301486,-0.0289596,1.01561,0.0703627,0.613857,0.0250951,-1.99197,-0.0301486,-0.0301486
2.9827,0,0,0,0.350344,1.28062,0.870412,0,0,0,0,-1.00722,-0.0594157,-0.603182,-0.027732,1.99629,0.0300687,-0.0295189,1.00722,0.0594157,0.603182,0.027732,-1.99629,-0.0300687,-0.0300687
