time,chassis_x,chassis_y,chassis_yaw,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,head_joint1,head_joint2,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
43.5861,-4,0.00251428,12.5613,0.344696,1.26939,0.864696,0,0,0,0,0.125334,-1.33366,0.758568,-1.49327,-1.12706,-0.00159433,0.0283602,1.43524,0.872785,-1.41797,1.96939,0.723074,-0.05,-1.55
43.6182,-4,0.00251428,12.5613,0.343213,1.26643,0.863213,0,0,0,0,0.118441,-1.32351,0.738324,-1.46903,-1.10668,-0.00120145,0.0167222,1.40596,0.866017,-1.39225,1.96643,0.729523,-0.05,-1.55
43.6503,-4,0.00251428,12.5613,0.341548,1.2631,0.861548,0,0,0,0,0.110698,-1.3121,0.715588,-1.44181,-1.08378,-0.000760216,0.00365168,1.37307,0.858417,-1.36336,1.9631,0.736766,-0.05,-1.55
43.6823,-4,0.00251428,12.5613,0.3397,1.2594,0.8597,0,0,0,0,0.102107,-1.29945,0.69036,-1.4116,-1.05838,-0.000270629,-0.0108512,1.33658,0.849983,-1.3313,1.9594,0.744803,-0.05,-1.55
43.7144,-4,0.00251428,12.5613,0.337671,1.25534,0.857671,0,0,0,0,0.0926679,-1.28554,0.662641,-1.37841,-1.03047,0.000267312,-0.0267864,1.29649,0.840716,-1.29608,1.95534,0.753633,-0.05,-1.55
43.7465,-4,0.00251428,12.5613,0.335458,1.25092,0.855458,0,0,0,0,0.0823801,-1.27039,0.63243,-1.34224,-1.00005,0.000853607,-0.044154,1.2528,0.830616,-1.2577,1.95092,0.763257,-0.05,-1.55
43.7786,-4,0.00251428,12.5613,0.333063,1.24613,0.853063,0,0,0,0,0.0712438,-1.25398,0.599728,-1.30308,-0.967119,0.00148826,-0.062954,1.2055,0.819683,-1.21615,1.94613,0.773675,-0.05,-1.55
43.8107,-4,0.00251428,12.5613,0.330486,1.24097,0.850486,0,0,0,0,0.059259,-1.23633,0.564534,-1.26094,-0.93168,0.00217126,-0.0831864,1.15459,0.807918,-1.17143,1.94097,0.784887,-0.05,-1.55
43.8428,-4,0.00251428,12.5613,0.327726,1.23545,0.847726,0,0,0,0,0.0464257,-1.21742,0.526848,-1.21582,-0.893732,0.00290262,-0.104851,1.10009,0.795319,-1.12355,1.93545,0.796892,-0.05,-1.55
43.8749,-4,0.00251428,12.5613,0.324784,1.22957,0.844784,0,0,0,0,0.032744,-1.19727,0.486671,-1.16771,-0.853275,0.00368233,-0.127948,1.04198,0.781887,-1.0725,1.92957,0.809691,-0.05,-1.55
43.907,-4,0.00251428,12.5613,0.321659,1.22332,0.841659,0,0,0,0,0.0182138,-1.17586,0.444002,-1.11662,-0.81031,0.0045104,-0.152478,0.980263,0.767623,-1.01828,1.92332,0.823284,-0.05,-1.55
43.939,-4,0.00251428,12.5613,0.318352,1.2167,0.838352,0,0,0,0,0.00283507,-1.15321,0.398841,-1.06255,-0.764835,0.00538682,-0.17844,0.914945,0.752525,-0.960901,1.9167,0.83767,-0.05,-1.55
43.9711,-4,0.00251428,12.5613,0.314862,1.20972,0.834862,0,0,0,0,-0.0133921,-1.1293,0.351189,-1.00549,-0.716851,0.00631159,-0.205834,0.846023,0.736595,-0.900354,1.90972,0.852851,-0.05,-1.55
44.0032,-4,0.00251428,12.5613,0.31119,1.20238,0.83119,0,0,0,0,-0.0304678,-1.10415,0.301046,-0.945452,-0.666359,0.00728472,-0.234661,0.773497,0.719831,-0.836642,1.90238,0.868825,-0.05,-1.55
44.0353,-4,0.00251428,12.5613,0.307335,1.19467,0.827335,0,0,0,0,-0.0483916,-1.07775,0.248411,-0.88243,-0.613358,0.00830619,-0.264919,0.697369,0.702235,-0.769765,1.89467,0.885592,-0.05,-1.55
44.0674,-4,0.00251428,12.5613,0.303311,1.18662,0.823311,0,0,0,0,-0.0671035,-1.05018,0.193463,-0.816636,-0.558027,0.00937256,-0.296508,0.617894,0.683865,-0.699947,1.88662,0.903097,-0.05,-1.55
44.0995,-4,0.00251428,12.5613,0.299249,1.1785,0.819249,0,0,0,0,-0.0859915,-1.02236,0.137997,-0.750224,-0.502176,0.010449,-0.328394,0.537671,0.665322,-0.629473,1.8785,0.920766,-0.05,-1.55
44.1316,-4,0.00251428,12.5613,0.295187,1.17037,0.815187,0,0,0,0,-0.104879,-0.994534,0.0825336,-0.683814,-0.446326,0.0115253,-0.360279,0.457451,0.64678,-0.559001,1.87037,0.938435,-0.05,-1.55
44.1637,-4,0.00251428,12.5613,0.291126,1.16225,0.811126,0,0,0,0,-0.123766,-0.96671,0.0270699,-0.617403,-0.390477,0.0126017,-0.392164,0.37723,0.628238,-0.488529,1.86225,0.956104,-0.05,-1.55
44.1958,-4,0.00251428,12.5613,0.287064,1.15413,0.807064,0,0,0,0,-0.142653,-0.938887,-0.0283938,-0.550993,-0.334627,0.0136781,-0.424049,0.29701,0.609696,-0.418057,1.85413,0.973772,-0.05,-1.55
44.2278,-4,0.00251428,12.5613,0.283002,1.146,0.803002,0,0,0,0,-0.161541,-0.911064,-0.0838574,-0.484583,-0.278778,0.0147545,-0.455934,0.21679,0.591154,-0.347585,1.846,0.991441,-0.05,-1.55
44.2599,-4,0.00251428,12.5613,0.27894,1.13788,0.79894,0,0,0,0,-0.180428,-0.883241,-0.139321,-0.418173,-0.222928,0.0158308,-0.487819,0.13657,0.572612,-0.277113,1.83788,1.00911,-0.05,-1.55
44.292,-4,0.00251428,12.5613,0.274878,1.12976,0.794878,0,0,0,0,-0.199315,-0.855417,-0.194785,-0.351763,-0.167079,0.0169072,-0.519704,0.0563493,0.55407,-0.206641,1.82976,1.02678,-0.05,-1.55
44.3241,-4,0.00251428,12.5613,0.270817,1.12163,0.790817,0,0,0,0,-0.218203,-0.827594,-0.250248,-0.285352,-0.111229,0.0179836,-0.551589,-0.0238709,0.535528,-0.136169,1.82163,1.04445,-0.05,-1.55
44.3562,-4,0.00251428,12.5613,0.266755,1.11351,0.786755,0,0,0,0,-0.23709,-0.799771,-0.305712,-0.218942,-0.0553795,0.01906,-0.583474,-0.104091,0.516986,-0.0656971,1.81351,1.06212,-0.05,-1.55
44.3883,-4,0.00251428,12.5613,0.262693,1.10539,0.782693,0,0,0,0,-0.255977,-0.771948,-0.361176,-0.152532,0.000470004,0.0201363,-0.615359,-0.184311,0.498444,0.00477488,1.80539,1.07979,-0.05,-1.55
44.4204,-4,0.00251428,12.5613,0.258631,1.09726,0.778631,0,0,0,0,-0.274864,-0.744124,-0.41664,-0.0861218,0.0563196,0.0212127,-0.647244,-0.264532,0.479902,0.0752469,1.79726,1.09745,-0.05,-1.55
44.4525,-4,0.00251428,12.5613,0.25457,1.08914,0.77457,0,0,0,0,-0.293752,-0.716301,-0.472103,-0.0197116,0.112169,0.0222891,-0.679129,-0.344752,0.46136,0.145719,1.78914,1.11512,-0.05,-1.55
44.4845,-4,0.00251428,12.5613,0.250508,1.08102,0.770508,0,0,0,0,-0.312639,-0.688478,-0.527567,0.0466986,0.168019,0.0233655,-0.711014,-0.424972,0.442818,0.216191,1.78102,1.13279,-0.05,-1.55
44.5166,-4,0.00251428,12.5613,0.246446,1.07289,0.766446,0,0,0,0,-0.331526,-0.660655,-0.583031,0.113109,0.223868,0.0244418,-0.742899,-0.505193,0.424276,0.286663,1.77289,1.15046,-0.05,-1.55
44.5487,-4,0.00251428,12.5613,0.242384,1.06477,0.762384,0,0,0,0,-0.350414,-0.632832,-0.638494,0.179519,0.279718,0.0255182,-0.774784,-0.585413,0.405734,0.357135,1.76477,1.16813,-0.05,-1.55
44.5808,-4,0.00251428,12.5613,0.238322,1.05664,0.758322,0,0,0,0,-0.369301,-0.605008,-0.693958,0.245929,0.335567,0.0265946,-0.806669,-0.665633,0.387192,0.427607,1.75664,1.1858,-0.05,-1.55
44.6129,-4,0.00251428,12.5613,0.234261,1.04852,0.754261,0,0,0,0,-0.388188,-0.577185,-0.749422,0.312339,0.391417,0.0276709,-0.838554,-0.745853,0.36865,0.498079,1.74852,1.20347,-0.05,-1.55
